ship,k,value
0,0,0.82289
0,1,0.622087
0,2,0.856032
1,0,0.749986
1,1,0.743744
1,2,0.655568
2,0,0.793935
2,1,0.668917
2,2,0.678858
3,0,0.691896
3,1,0.779754
3,2,0.684289
4,0,0.860481
4,1,0.743835
4,2,0.784565
5,0,0.704964
5,1,0.838331
5,2,0.792778
6,0,0.809245
6,1,0.823511
6,2,0.713037
7,0,0.839626
7,1,0.617833
7,2,0.827357
8,0,0.615554
8,1,0.660321
8,2,0.6908
9,0,0.654622
9,1,0.779985
9,2,0.766187
10,0,0.77325
10,1,0.760527
10,2,0.839592
11,0,0.71109
11,1,0.854308
11,2,0.781151
12,0,0.819256
12,1,0.693928
12,2,0.852788
13,0,0.636514
13,1,0.615783
13,2,0.696142
14,0,0.757963
14,1,0.782574
14,2,0.631893
