ship,k,row,value
0,0,0,1027
0,0,1,977
0,0,2,1118
0,0,3,1190
0,0,4,1129
0,0,5,1187
0,0,6,1036
0,0,7,1174
0,0,8,992
0,0,9,1145
0,0,10,1172
0,0,11,1152
0,0,12,1030
0,0,13,915
0,0,14,1122
0,0,15,935
0,0,16,902
0,0,17,1099
0,0,18,1047
0,0,19,1037
0,1,0,1149
0,1,1,987
0,1,2,1057
0,1,3,1147
0,1,4,1159
0,1,5,968
0,1,6,965
0,1,7,1145
0,1,8,1057
0,1,9,1106
0,1,10,900
0,1,11,945
0,1,12,940
0,1,13,1145
0,1,14,1123
0,1,15,1093
0,1,16,988
0,1,17,1031
0,1,18,1004
0,1,19,1044
0,2,0,1190
0,2,1,1160
0,2,2,1003
0,2,3,1085
0,2,4,901
0,2,5,1155
0,2,6,1026
0,2,7,1110
0,2,8,1149
0,2,9,1044
0,2,10,1165
0,2,11,1200
0,2,12,985
0,2,13,1172
0,2,14,965
0,2,15,907
0,2,16,1123
0,2,17,1070
0,2,18,955
0,2,19,1010
1,0,0,998
1,0,1,971
1,0,2,1130
1,0,3,1183
1,0,4,1170
1,0,5,1073
1,0,6,1023
1,0,7,970
1,0,8,1000
1,0,9,1053
1,0,10,1124
1,0,11,1192
1,0,12,1112
1,0,13,1081
1,0,14,1060
1,0,15,917
1,0,16,972
1,0,17,908
1,0,18,1011
1,0,19,1152
1,1,0,1194
1,1,1,1176
1,1,2,1029
1,1,3,1007
1,1,4,999
1,1,5,1094
1,1,6,1168
1,1,7,994
1,1,8,1007
1,1,9,1019
1,1,10,910
1,1,11,1001
1,1,12,1092
1,1,13,1183
1,1,14,940
1,1,15,1144
1,1,16,958
1,1,17,1139
1,1,18,1045
1,1,19,1110
1,2,0,1013
1,2,1,1164
1,2,2,981
1,2,3,1087
1,2,4,1111
1,2,5,1134
1,2,6,900
1,2,7,1103
1,2,8,1194
1,2,9,973
1,2,10,1138
1,2,11,1112
1,2,12,912
1,2,13,929
1,2,14,1132
1,2,15,1116
1,2,16,1158
1,2,17,1150
1,2,18,1039
1,2,19,1069
2,0,0,1002
2,0,1,1159
2,0,2,980
2,0,3,1137
2,0,4,1036
2,0,5,1045
2,0,6,1020
2,0,7,1021
2,0,8,1165
2,0,9,1027
2,0,10,961
2,0,11,1144
2,0,12,1005
2,0,13,960
2,0,14,1191
2,0,15,1076
2,0,16,1023
2,0,17,948
2,0,18,1058
2,0,19,1000
2,1,0,1143
2,1,1,905
2,1,2,1115
2,1,3,1166
2,1,4,1055
2,1,5,953
2,1,6,1104
2,1,7,1193
2,1,8,1133
2,1,9,972
2,1,10,973
2,1,11,1003
2,1,12,1098
2,1,13,977
2,1,14,928
2,1,15,1137
2,1,16,1042
2,1,17,1087
2,1,18,1184
2,1,19,1193
2,2,0,1172
2,2,1,949
2,2,2,1133
2,2,3,1005
2,2,4,929
2,2,5,1149
2,2,6,1183
2,2,7,1059
2,2,8,956
2,2,9,1052
2,2,10,1031
2,2,11,1141
2,2,12,1054
2,2,13,919
2,2,14,950
2,2,15,971
2,2,16,1135
2,2,17,1054
2,2,18,1198
2,2,19,947
