berth,row,slot,value
0,0,0,19
0,0,1,15.5
0,0,2,21
0,0,3,18.5
0,0,4,18
0,0,5,20.5
0,0,6,18
0,0,7,18.5
0,0,8,22
0,0,9,20.5
0,0,10,25
0,0,11,24.5
0,0,12,21
0,0,13,26.5
0,0,14,25
0,0,15,24.5
0,0,16,26
0,0,17,27.5
0,0,18,28
0,0,19,29.5
0,0,20,30
0,0,21,25.5
0,0,22,31
0,0,23,27.5
0,1,0,15
0,1,1,18.5
0,1,2,19
0,1,3,20.5
0,1,4,18
0,1,5,18.5
0,1,6,19
0,1,7,21.5
0,1,8,22
0,1,9,24.5
0,1,10,20
0,1,11,21.5
0,1,12,21
0,1,13,22.5
0,1,14,27
0,1,15,23.5
0,1,16,27
0,1,17,26.5
0,1,18,25
0,1,19,24.5
0,1,20,26
0,1,21,29.5
0,1,22,26
0,1,23,28.5
0,2,0,16
0,2,1,18.5
0,2,2,20
0,2,3,17.5
0,2,4,17
0,2,5,21.5
0,2,6,20
0,2,7,19.5
0,2,8,19
0,2,9,20.5
0,2,10,21
0,2,11,24.5
0,2,12,26
0,2,13,24.5
0,2,14,25
0,2,15,24.5
0,2,16,28
0,2,17,23.5
0,2,18,27
0,2,19,29.5
0,2,20,28
0,2,21,30.5
0,2,22,31
0,2,23,31.5
0,3,0,19
0,3,1,15.5
0,3,2,17
0,3,3,18.5
0,3,4,18
0,3,5,17.5
0,3,6,22
0,3,7,20.5
0,3,8,21
0,3,9,24.5
0,3,10,23
0,3,11,24.5
0,3,12,25
0,3,13,22.5
0,3,14,23
0,3,15,22.5
0,3,16,23
0,3,17,27.5
0,3,18,29
0,3,19,26.5
0,3,20,25
0,3,21,28.5
0,3,22,30
0,3,23,28.5
0,4,0,18
0,4,1,16.5
0,4,2,19
0,4,3,17.5
0,4,4,20
0,4,5,20.5
0,4,6,18
0,4,7,20.5
0,4,8,21
0,4,9,22.5
0,4,10,20
0,4,11,21.5
0,4,12,22
0,4,13,21.5
0,4,14,23
0,4,15,25.5
0,4,16,23
0,4,17,23.5
0,4,18,24
0,4,19,29.5
0,4,20,29
0,4,21,27.5
0,4,22,30
0,4,23,26.5
0,5,0,18
0,5,1,20.5
0,5,2,16
0,5,3,18.5
0,5,4,22
0,5,5,17.5
0,5,6,18
0,5,7,23.5
0,5,8,23
0,5,9,24.5
0,5,10,20
0,5,11,22.5
0,5,12,24
0,5,13,25.5
0,5,14,26
0,5,15,25.5
0,5,16,23
0,5,17,23.5
0,5,18,25
0,5,19,25.5
0,5,20,29
0,5,21,26.5
0,5,22,31
0,5,23,26.5
0,6,0,19
0,6,1,17.5
0,6,2,17
0,6,3,18.5
0,6,4,20
0,6,5,22.5
0,6,6,22
0,6,7,22.5
0,6,8,20
0,6,9,24.5
0,6,10,25
0,6,11,21.5
0,6,12,25
0,6,13,25.5
0,6,14,24
0,6,15,27.5
0,6,16,27
0,6,17,27.5
0,6,18,29
0,6,19,26.5
0,6,20,28
0,6,21,26.5
0,6,22,29
0,6,23,31.5
0,7,0,15
0,7,1,15.5
0,7,2,21
0,7,3,21.5
0,7,4,18
0,7,5,21.5
0,7,6,20
0,7,7,22.5
0,7,8,24
0,7,9,24.5
0,7,10,23
0,7,11,24.5
0,7,12,22
0,7,13,21.5
0,7,14,24
0,7,15,22.5
0,7,16,24
0,7,17,25.5
0,7,18,27
0,7,19,25.5
0,7,20,29
0,7,21,25.5
0,7,22,26
0,7,23,27.5
0,8,0,18
0,8,1,18.5
0,8,2,18
0,8,3,20.5
0,8,4,22
0,8,5,19.5
0,8,6,23
0,8,7,22.5
0,8,8,19
0,8,9,23.5
0,8,10,23
0,8,11,21.5
0,8,12,22
0,8,13,22.5
0,8,14,26
0,8,15,24.5
0,8,16,25
0,8,17,28.5
0,8,18,27
0,8,19,28.5
0,8,20,26
0,8,21,30.5
0,8,22,29
0,8,23,31.5
0,9,0,16
0,9,1,16.5
0,9,2,17
0,9,3,18.5
0,9,4,20
0,9,5,19.5
0,9,6,18
0,9,7,19.5
0,9,8,21
0,9,9,19.5
0,9,10,23
0,9,11,20.5
0,9,12,23
0,9,13,25.5
0,9,14,23
0,9,15,26.5
0,9,16,28
0,9,17,23.5
0,9,18,25
0,9,19,27.5
0,9,20,26
0,9,21,28.5
0,9,22,27
0,9,23,31.5
0,10,0,16
0,10,1,17.5
0,10,2,19
0,10,3,16.5
0,10,4,17
0,10,5,19.5
0,10,6,23
0,10,7,20.5
0,10,8,20
0,10,9,19.5
0,10,10,25
0,10,11,21.5
0,10,12,26
0,10,13,22.5
0,10,14,22
0,10,15,27.5
0,10,16,28
0,10,17,24.5
0,10,18,24
0,10,19,27.5
0,10,20,30
0,10,21,27.5
0,10,22,31
0,10,23,30.5
0,11,0,17
0,11,1,16.5
0,11,2,21
0,11,3,16.5
0,11,4,17
0,11,5,17.5
0,11,6,23
0,11,7,21.5
0,11,8,24
0,11,9,23.5
0,11,10,21
0,11,11,23.5
0,11,12,25
0,11,13,26.5
0,11,14,27
0,11,15,26.5
0,11,16,27
0,11,17,27.5
0,11,18,29
0,11,19,25.5
0,11,20,30
0,11,21,27.5
0,11,22,29
0,11,23,27.5
0,12,0,18
0,12,1,16.5
0,12,2,21
0,12,3,21.5
0,12,4,19
0,12,5,21.5
0,12,6,19
0,12,7,23.5
0,12,8,20
0,12,9,24.5
0,12,10,24
0,12,11,22.5
0,12,12,22
0,12,13,26.5
0,12,14,23
0,12,15,24.5
0,12,16,24
0,12,17,23.5
0,12,18,24
0,12,19,28.5
0,12,20,29
0,12,21,30.5
0,12,22,27
0,12,23,28.5
0,13,0,17
0,13,1,20.5
0,13,2,16
0,13,3,17.5
0,13,4,20
0,13,5,17.5
0,13,6,22
0,13,7,21.5
0,13,8,19
0,13,9,22.5
0,13,10,24
0,13,11,21.5
0,13,12,21
0,13,13,26.5
0,13,14,26
0,13,15,24.5
0,13,16,28
0,13,17,27.5
0,13,18,29
0,13,19,26.5
0,13,20,30
0,13,21,26.5
0,13,22,31
0,13,23,28.5
0,14,0,20
0,14,1,20.5
0,14,2,19
0,14,3,20.5
0,14,4,19
0,14,5,17.5
0,14,6,20
0,14,7,22.5
0,14,8,19
0,14,9,22.5
0,14,10,24
0,14,11,21.5
0,14,12,25
0,14,13,23.5
0,14,14,22
0,14,15,24.5
0,14,16,24
0,14,17,25.5
0,14,18,27
0,14,19,24.5
0,14,20,27
0,14,21,27.5
0,14,22,28
0,14,23,30.5
0,15,0,20
0,15,1,17.5
0,15,2,20
0,15,3,16.5
0,15,4,18
0,15,5,22.5
0,15,6,20
0,15,7,20.5
0,15,8,23
0,15,9,19.5
0,15,10,21
0,15,11,25.5
0,15,12,21
0,15,13,21.5
0,15,14,22
0,15,15,22.5
0,15,16,25
0,15,17,27.5
0,15,18,29
0,15,19,27.5
0,15,20,28
0,15,21,26.5
0,15,22,26
0,15,23,26.5
0,16,0,19
0,16,1,19.5
0,16,2,17
0,16,3,20.5
0,16,4,17
0,16,5,21.5
0,16,6,18
0,16,7,18.5
0,16,8,21
0,16,9,24.5
0,16,10,23
0,16,11,20.5
0,16,12,21
0,16,13,26.5
0,16,14,24
0,16,15,24.5
0,16,16,23
0,16,17,26.5
0,16,18,28
0,16,19,28.5
0,16,20,25
0,16,21,30.5
0,16,22,26
0,16,23,30.5
0,17,0,18
0,17,1,15.5
0,17,2,18
0,17,3,21.5
0,17,4,20
0,17,5,22.5
0,17,6,23
0,17,7,21.5
0,17,8,19
0,17,9,23.5
0,17,10,22
0,17,11,20.5
0,17,12,22
0,17,13,25.5
0,17,14,27
0,17,15,24.5
0,17,16,27
0,17,17,24.5
0,17,18,28
0,17,19,27.5
0,17,20,30
0,17,21,25.5
0,17,22,29
0,17,23,26.5
0,18,0,17
0,18,1,15.5
0,18,2,16
0,18,3,18.5
0,18,4,17
0,18,5,17.5
0,18,6,18
0,18,7,20.5
0,18,8,21
0,18,9,20.5
0,18,10,22
0,18,11,22.5
0,18,12,21
0,18,13,22.5
0,18,14,27
0,18,15,26.5
0,18,16,27
0,18,17,28.5
0,18,18,27
0,18,19,25.5
0,18,20,29
0,18,21,29.5
0,18,22,30
0,18,23,27.5
0,19,0,15
0,19,1,20.5
0,19,2,16
0,19,3,17.5
0,19,4,17
0,19,5,18.5
0,19,6,23
0,19,7,22.5
0,19,8,24
0,19,9,23.5
0,19,10,24
0,19,11,25.5
0,19,12,21
0,19,13,26.5
0,19,14,24
0,19,15,23.5
0,19,16,26
0,19,17,26.5
0,19,18,27
0,19,19,28.5
0,19,20,29
0,19,21,26.5
0,19,22,29
0,19,23,29.5
1,0,0,20
1,0,1,20.5
1,0,2,16
1,0,3,19.5
1,0,4,17
1,0,5,21.5
1,0,6,19
1,0,7,23.5
1,0,8,23
1,0,9,19.5
1,0,10,21
1,0,11,24.5
1,0,12,22
1,0,13,21.5
1,0,14,23
1,0,15,24.5
1,0,16,25
1,0,17,23.5
1,0,18,26
1,0,19,25.5
1,0,20,27
1,0,21,30.5
1,0,22,28
1,0,23,27.5
1,1,0,16
1,1,1,18.5
1,1,2,21
1,1,3,18.5
1,1,4,21
1,1,5,20.5
1,1,6,18
1,1,7,21.5
1,1,8,22
1,1,9,22.5
1,1,10,22
1,1,11,23.5
1,1,12,23
1,1,13,25.5
1,1,14,22
1,1,15,26.5
1,1,16,23
1,1,17,23.5
1,1,18,29
1,1,19,29.5
1,1,20,27
1,1,21,27.5
1,1,22,27
1,1,23,30.5
1,2,0,15
1,2,1,20.5
1,2,2,18
1,2,3,18.5
1,2,4,22
1,2,5,20.5
1,2,6,23
1,2,7,23.5
1,2,8,19
1,2,9,19.5
1,2,10,23
1,2,11,25.5
1,2,12,25
1,2,13,22.5
1,2,14,25
1,2,15,22.5
1,2,16,26
1,2,17,24.5
1,2,18,28
1,2,19,28.5
1,2,20,25
1,2,21,25.5
1,2,22,26
1,2,23,30.5
1,3,0,16
1,3,1,19.5
1,3,2,18
1,3,3,17.5
1,3,4,18
1,3,5,18.5
1,3,6,18
1,3,7,19.5
1,3,8,20
1,3,9,22.5
1,3,10,25
1,3,11,22.5
1,3,12,21
1,3,13,25.5
1,3,14,24
1,3,15,24.5
1,3,16,26
1,3,17,25.5
1,3,18,24
1,3,19,29.5
1,3,20,26
1,3,21,26.5
1,3,22,31
1,3,23,31.5
1,4,0,16
1,4,1,19.5
1,4,2,20
1,4,3,20.5
1,4,4,18
1,4,5,21.5
1,4,6,22
1,4,7,19.5
1,4,8,24
1,4,9,21.5
1,4,10,25
1,4,11,23.5
1,4,12,24
1,4,13,22.5
1,4,14,26
1,4,15,25.5
1,4,16,28
1,4,17,27.5
1,4,18,26
1,4,19,29.5
1,4,20,25
1,4,21,26.5
1,4,22,26
1,4,23,26.5
1,5,0,20
1,5,1,17.5
1,5,2,19
1,5,3,21.5
1,5,4,20
1,5,5,20.5
1,5,6,21
1,5,7,20.5
