ship,berth,k,value
0,0,0,10653
0,0,1,10141
0,0,2,5379
0,1,0,9119
0,1,1,7325
0,1,2,10209
0,2,0,7733
0,2,1,8185
0,2,2,5617
1,0,0,9676
1,0,1,8647
1,0,2,7426
1,1,0,7254
1,1,1,7472
1,1,2,9416
1,2,0,8808
1,2,1,9253
1,2,2,7247
2,0,0,8398
2,0,1,7694
2,0,2,10669
2,1,0,9421
2,1,1,9218
2,1,2,6442
2,2,0,9962
2,2,1,5756
2,2,2,9293
3,0,0,10254
3,0,1,8803
3,0,2,7242
3,1,0,10492
3,1,1,9995
3,1,2,10648
3,2,0,8238
3,2,1,8699
3,2,2,5162
4,0,0,6393
4,0,1,7235
4,0,2,8946
4,1,0,10967
4,1,1,8229
4,1,2,7474
4,2,0,7249
4,2,1,5493
4,2,2,10692
5,0,0,10738
5,0,1,7834
5,0,2,8281
5,1,0,10540
5,1,1,6086
5,1,2,6209
5,2,0,6186
5,2,1,8202
5,2,2,7338
6,0,0,7231
6,0,1,8494
6,0,2,8392
6,1,0,7420
6,1,1,6413
6,1,2,9665
6,2,0,7245
6,2,1,5614
6,2,2,7140
7,0,0,6258
7,0,1,8939
7,0,2,9722
7,1,0,10816
7,1,1,7730
7,1,2,8168
7,2,0,8741
7,2,1,10172
7,2,2,7985
8,0,0,7777
8,0,1,8854
8,0,2,7222
8,1,0,5681
8,1,1,9993
8,1,2,9566
8,2,0,7818
8,2,1,10412
8,2,2,6157
