ship,k,value
0,0,1
0,1,1
0,2,1
1,0,1
1,1,2
1,2,1
2,0,2
2,1,2
2,2,2
3,0,2
3,1,2
3,2,2
4,0,1
4,1,2
4,2,2
5,0,2
5,1,2
5,2,1
6,0,1
6,1,1
6,2,2
7,0,1
7,1,1
7,2,1
8,0,2
8,1,2
8,2,1
9,0,2
9,1,2
9,2,1
10,0,2
10,1,1
10,2,1
11,0,2
11,1,2
11,2,2
12,0,2
12,1,1
12,2,2
13,0,1
13,1,1
13,2,1
14,0,2
14,1,2
14,2,1
15,0,1
15,1,1
15,2,1
16,0,2
16,1,2
16,2,2
17,0,2
17,1,2
17,2,2
18,0,2
18,1,1
18,2,1
19,0,2
19,1,1
19,2,2
20,0,1
20,1,1
20,2,1
21,0,3
21,1,2
21,2,4
22,0,2
22,1,1
22,2,2
23,0,1
23,1,1
23,2,1
24,0,1
24,1,2
24,2,1
25,0,1
25,1,3
25,2,2
26,0,2
26,1,1
26,2,2
27,0,1
27,1,1
27,2,1
28,0,1
28,1,1
28,2,2
29,0,3
29,1,1
29,2,2
30,0,2
30,1,1
30,2,2
31,0,3
31,1,2
31,2,3
32,0,1
32,1,1
32,2,1
33,0,2
33,1,2
33,2,2
34,0,2
34,1,2
34,2,2
35,0,1
35,1,2
35,2,2
36,0,1
36,1,2
36,2,1
37,0,1
37,1,1
37,2,1
38,0,1
38,1,2
38,2,1
39,0,2
39,1,2
39,2,2
