ship,k,row,value
0,0,0,1127
0,0,1,930
0,0,2,925
0,0,3,1197
0,0,4,917
0,0,5,1135
0,0,6,1110
0,0,7,997
0,0,8,993
0,0,9,1051
0,0,10,993
0,0,11,1122
0,0,12,1125
0,0,13,974
0,0,14,1197
0,0,15,1090
0,0,16,1189
0,0,17,1169
0,0,18,968
0,0,19,1186
0,1,0,1077
0,1,1,1011
0,1,2,1130
0,1,3,1087
0,1,4,1164
0,1,5,909
0,1,6,1027
0,1,7,1172
0,1,8,1059
0,1,9,1099
0,1,10,1163
0,1,11,1014
0,1,12,1051
0,1,13,928
0,1,14,1134
0,1,15,1024
0,1,16,960
0,1,17,1191
0,1,18,955
0,1,19,1199
0,2,0,1156
0,2,1,1110
0,2,2,1007
0,2,3,996
0,2,4,1070
0,2,5,1161
0,2,6,936
0,2,7,922
0,2,8,960
0,2,9,1120
0,2,10,1166
0,2,11,1092
0,2,12,1176
0,2,13,992
0,2,14,936
0,2,15,1107
0,2,16,1007
0,2,17,1007
0,2,18,1130
0,2,19,963
1,0,0,1059
1,0,1,1192
1,0,2,942
1,0,3,1172
1,0,4,950
1,0,5,935
1,0,6,1029
1,0,7,1160
1,0,8,1084
1,0,9,968
1,0,10,1196
1,0,11,1040
1,0,12,1133
1,0,13,984
1,0,14,1110
1,0,15,969
1,0,16,939
1,0,17,1019
1,0,18,1143
1,0,19,1140
1,1,0,1027
1,1,1,964
1,1,2,1106
1,1,3,1014
1,1,4,932
1,1,5,1049
1,1,6,1155
1,1,7,1066
1,1,8,1082
1,1,9,1129
1,1,10,1197
1,1,11,1175
1,1,12,1098
1,1,13,1163
1,1,14,1060
1,1,15,1013
1,1,16,1099
1,1,17,1015
1,1,18,1198
1,1,19,1137
1,2,0,1186
1,2,1,1061
1,2,2,1094
1,2,3,1149
1,2,4,1167
1,2,5,1001
1,2,6,1016
1,2,7,1071
1,2,8,1094
1,2,9,1044
1,2,10,1192
1,2,11,1114
1,2,12,941
1,2,13,1032
1,2,14,1019
1,2,15,952
1,2,16,992
1,2,17,962
1,2,18,1171
1,2,19,1068
2,0,0,1131
2,0,1,1200
2,0,2,924
2,0,3,965
2,0,4,1177
2,0,5,1101
2,0,6,1150
2,0,7,959
2,0,8,1136
2,0,9,1140
2,0,10,993
2,0,11,924
2,0,12,914
2,0,13,1114
2,0,14,1178
2,0,15,1149
2,0,16,919
2,0,17,1119
2,0,18,968
2,0,19,1031
2,1,0,1008
2,1,1,1184
2,1,2,944
2,1,3,1188
2,1,4,981
2,1,5,1069
2,1,6,947
2,1,7,926
2,1,8,996
2,1,9,1144
2,1,10,966
2,1,11,1037
2,1,12,926
2,1,13,1194
2,1,14,1062
2,1,15,920
2,1,16,1042
2,1,17,1113
2,1,18,997
2,1,19,926
2,2,0,1187
2,2,1,1086
2,2,2,1018
2,2,3,916
2,2,4,958
2,2,5,1069
2,2,6,1108
2,2,7,1092
2,2,8,931
2,2,9,1088
2,2,10,911
2,2,11,1049
2,2,12,1074
2,2,13,1139
2,2,14,932
2,2,15,1172
2,2,16,1080
2,2,17,989
2,2,18,957
2,2,19,951
3,0,0,1144
3,0,1,1147
3,0,2,1026
3,0,3,906
3,0,4,1109
3,0,5,944
3,0,6,942
3,0,7,1021
3,0,8,1163
3,0,9,1152
3,0,10,939
3,0,11,932
3,0,12,913
3,0,13,910
3,0,14,1171
3,0,15,934
3,0,16,1070
3,0,17,1037
3,0,18,986
3,0,19,1020
3,1,0,946
3,1,1,1178
3,1,2,1086
3,1,3,1000
3,1,4,988
3,1,5,1156
3,1,6,1180
3,1,7,1000
3,1,8,996
3,1,9,1046
3,1,10,984
3,1,11,934
3,1,12,1104
3,1,13,1123
3,1,14,965
3,1,15,1149
3,1,16,922
3,1,17,1014
3,1,18,926
3,1,19,1063
3,2,0,903
3,2,1,1064
3,2,2,996
3,2,3,929
3,2,4,1114
3,2,5,1122
3,2,6,1029
3,2,7,1055
3,2,8,1126
3,2,9,938
3,2,10,942
3,2,11,1158
3,2,12,1145
3,2,13,1063
3,2,14,1094
3,2,15,983
3,2,16,1141
3,2,17,910
3,2,18,1045
3,2,19,1193
4,0,0,987
4,0,1,1162
4,0,2,1192
4,0,3,1134
4,0,4,1092
4,0,5,1044
4,0,6,1154
4,0,7,958
4,0,8,961
4,0,9,1176
4,0,10,931
4,0,11,996
4,0,12,1066
4,0,13,1000
4,0,14,1068
4,0,15,1083
4,0,16,1115
4,0,17,991
4,0,18,1066
4,0,19,1037
4,1,0,1142
4,1,1,937
4,1,2,1167
4,1,3,941
4,1,4,980
4,1,5,1045
4,1,6,1151
4,1,7,1098
4,1,8,1030
4,1,9,1102
4,1,10,1088
4,1,11,1113
4,1,12,906
4,1,13,1016
4,1,14,966
4,1,15,1078
4,1,16,1044
4,1,17,1016
4,1,18,1004
4,1,19,1098
4,2,0,991
4,2,1,1165
4,2,2,1051
4,2,3,1144
4,2,4,1048
4,2,5,1199
4,2,6,998
4,2,7,909
4,2,8,1095
4,2,9,1105
4,2,10,905
4,2,11,1079
4,2,12,914
4,2,13,951
4,2,14,916
4,2,15,1019
4,2,16,929
4,2,17,1148
4,2,18,1082
4,2,19,1065
5,0,0,961
5,0,1,1141
5,0,2,1003
5,0,3,1018
5,0,4,1078
5,0,5,912
5,0,6,1040
5,0,7,1156
5,0,8,1153
5,0,9,972
5,0,10,1087
5,0,11,917
5,0,12,1180
5,0,13,931
5,0,14,951
5,0,15,1165
5,0,16,1109
5,0,17,1152
5,0,18,1032
5,0,19,1004
5,1,0,1099
5,1,1,1055
5,1,2,984
5,1,3,939
5,1,4,1030
5,1,5,1166
5,1,6,1143
5,1,7,1077
5,1,8,945
5,1,9,1003
5,1,10,1168
5,1,11,1173
5,1,12,961
5,1,13,1061
5,1,14,1193
5,1,15,1171
5,1,16,1179
5,1,17,958
5,1,18,997
5,1,19,908
5,2,0,912
5,2,1,1057
5,2,2,901
5,2,3,993
5,2,4,1131
5,2,5,959
5,2,6,1027
5,2,7,1177
5,2,8,961
5,2,9,1065
5,2,10,1070
5,2,11,1036
5,2,12,1013
5,2,13,1011
5,2,14,1108
5,2,15,1036
5,2,16,966
5,2,17,978
5,2,18,969
5,2,19,982
6,0,0,1095
6,0,1,1110
6,0,2,1119
6,0,3,1124
6,0,4,1197
6,0,5,1129
6,0,6,1066
6,0,7,981
6,0,8,980
6,0,9,1103
6,0,10,902
6,0,11,901
6,0,12,1010
6,0,13,1059
6,0,14,1018
6,0,15,1152
6,0,16,1131
6,0,17,1193
6,0,18,930
6,0,19,1172
6,1,0,1074
6,1,1,930
6,1,2,944
6,1,3,905
6,1,4,1042
6,1,5,1086
6,1,6,933
6,1,7,1147
6,1,8,1073
6,1,9,923
6,1,10,927
6,1,11,1102
6,1,12,938
6,1,13,976
6,1,14,1066
6,1,15,1145
6,1,16,975
6,1,17,1160
6,1,18,944
6,1,19,1133
6,2,0,1060
6,2,1,1074
6,2,2,979
6,2,3,971
6,2,4,1021
6,2,5,1164
6,2,6,1191
6,2,7,920
6,2,8,1111
6,2,9,1164
6,2,10,992
6,2,11,1085
6,2,12,1009
6,2,13,1064
6,2,14,987
6,2,15,982
6,2,16,944
6,2,17,947
6,2,18,1164
6,2,19,1135
7,0,0,1139
7,0,1,1163
7,0,2,1086
7,0,3,1070
7,0,4,1144
7,0,5,1072
7,0,6,1084
7,0,7,1054
7,0,8,1139
7,0,9,955
7,0,10,982
7,0,11,1115
7,0,12,1180
7,0,13,1133
7,0,14,991
7,0,15,1094
7,0,16,1009
7,0,17,1135
7,0,18,1028
7,0,19,901
7,1,0,1068
7,1,1,1117
7,1,2,1200
7,1,3,1184
7,1,4,1040
7,1,5,1177
7,1,6,926
7,1,7,1116
7,1,8,1166
7,1,9,1092
7,1,10,1168
7,1,11,983
7,1,12,949
7,1,13,1064
7,1,14,919
7,1,15,1149
7,1,16,1059
7,1,17,919
7,1,18,1099
7,1,19,1089
7,2,0,932
7,2,1,978
7,2,2,1079
7,2,3,1134
7,2,4,924
7,2,5,1047
7,2,6,1050
7,2,7,1081
7,2,8,1187
7,2,9,905
7,2,10,1191
7,2,11,990
7,2,12,1042
7,2,13,1083
7,2,14,921
7,2,15,1040
7,2,16,1195
7,2,17,1127
7,2,18,949
7,2,19,1104
8,0,0,1019
8,0,1,1156
8,0,2,1147
8,0,3,910
8,0,4,1055
8,0,5,1180
8,0,6,1008
8,0,7,1158
8,0,8,1152
8,0,9,1023
8,0,10,957
8,0,11,943
8,0,12,907
8,0,13,1091
8,0,14,1140
8,0,15,1143
8,0,16,938
8,0,17,1037
8,0,18,960
8,0,19,993
8,1,0,971
8,1,1,1127
8,1,2,1014
8,1,3,966
8,1,4,1003
8,1,5,1068
8,1,6,1106
8,1,7,923
8,1,8,1015
8,1,9,911
8,1,10,1081
8,1,11,935
8,1,12,1041
8,1,13,1043
8,1,14,1017
8,1,15,1039
8,1,16,1103
8,1,17,920
8,1,18,959
8,1,19,1116
8,2,0,1051
8,2,1,1033
8,2,2,917
8,2,3,979
8,2,4,1184
8,2,5,1182
8,2,6,1145
8,2,7,1145
8,2,8,1094
8,2,9,1056
8,2,10,1193
8,2,11,978
8,2,12,945
8,2,13,1047
8,2,14,1071
8,2,15,1118
8,2,16,1082
8,2,17,936
8,2,18,981
8,2,19,973
9,0,0,1089
9,0,1,1033
9,0,2,974
9,0,3,942
9,0,4,1131
9,0,5,1137
9,0,6,1011
9,0,7,1011
9,0,8,1140
9,0,9,1063
9,0,10,1180
9,0,11,974
9,0,12,975
9,0,13,1075
9,0,14,1188
9,0,15,1138
9,0,16,908
9,0,17,1034
9,0,18,1150
9,0,19,1023
9,1,0,946
9,1,1,906
9,1,2,952
9,1,3,1138
9,1,4,954
9,1,5,992
9,1,6,976
9,1,7,963
9,1,8,1095
9,1,9,1171
9,1,10,1061
9,1,11,942
9,1,12,1078
9,1,13,1173
9,1,14,1129
9,1,15,1097
9,1,16,1022
9,1,17,1183
9,1,18,1167
9,1,19,1046
9,2,0,1130
9,2,1,1060
9,2,2,1073
9,2,3,905
9,2,4,1058
9,2,5,1194
9,2,6,1007
9,2,7,1068
9,2,8,1101
9,2,9,1100
9,2,10,978
9,2,11,1031
9,2,12,1096
9,2,13,929
9,2,14,911
9,2,15,1193
9,2,16,1166
9,2,17,1042
9,2,18,1051
9,2,19,1056
10,0,0,997
10,0,1,1065
10,0,2,1042
10,0,3,926
10,0,4,1200
10,0,5,977
10,0,6,1008
10,0,7,1118
10,0,8,919
10,0,9,1080
10,0,10,1158
10,0,11,964
10,0,12,1168
10,0,13,1011
10,0,14,1017
10,0,15,1194
10,0,16,1198
10,0,17,1088
10,0,18,944
10,0,19,905
10,1,0,968
10,1,1,1116
10,1,2,1175
10,1,3,1047
10,1,4,1031
10,1,5,1045
10,1,6,1099
10,1,7,1185
10,1,8,1030
10,1,9,1184
10,1,10,1026
10,1,11,1079
10,1,12,1018
10,1,13,950
10,1,14,1041
10,1,15,1036
10,1,16,1124
10,1,17,1024
10,1,18,907
10,1,19,1139
10,2,0,1186
10,2,1,913
10,2,2,1122
10,2,3,1128
10,2,4,1057
10,2,5,1176
10,2,6,910
10,2,7,970
10,2,8,1116
10,2,9,1162
10,2,10,956
10,2,11,900
10,2,12,1107
10,2,13,900
10,2,14,945
10,2,15,1025
10,2,16,1103
10,2,17,1062
10,2,18,916
10,2,19,1037
11,0,0,1089
11,0,1,988
11,0,2,922
11,0,3,1060
11,0,4,1124
11,0,5,1107
11,0,6,1126
11,0,7,1010
11,0,8,1159
11,0,9,922
11,0,10,1110
11,0,11,937
11,0,12,1090
11,0,13,941
11,0,14,972
11,0,15,908
11,0,16,1184
11,0,17,1094
11,0,18,1183
11,0,19,930
11,1,0,1017
11,1,1,1195
11,1,2,1152
11,1,3,1140
11,1,4,962
11,1,5,1160
11,1,6,1174
11,1,7,923
11,1,8,1151
11,1,9,908
11,1,10,1021
11,1,11,967
11,1,12,1047
11,1,13,1028
11,1,14,1008
11,1,15,1105
11,1,16,949
11,1,17,991
11,1,18,915
11,1,19,1190
11,2,0,982
11,2,1,1093
11,2,2,1004
11,2,3,1124
11,2,4,1123
11,2,5,1014
11,2,6,977
11,2,7,1170
11,2,8,1068
11,2,9,1150
11,2,10,1076
11,2,11,931
11,2,12,1106
11,2,13,919
11,2,14,1032
11,2,15,949
11,2,16,929
11,2,17,1111
11,2,18,1130
11,2,19,957
12,0,0,969
12,0,1,1080
12,0,2,1187
12,0,3,940
12,0,4,1096
12,0,5,1148
12,0,6,1041
12,0,7,964
12,0,8,1052
12,0,9,943
12,0,10,919
12,0,11,1104
12,0,12,935
12,0,13,1021
12,0,14,975
12,0,15,1152
12,0,16,1059
12,0,17,1070
12,0,18,1144
12,0,19,986
12,1,0,938
12,1,1,922
12,1,2,933
12,1,3,1083
12,1,4,979
12,1,5,1117
12,1,6,902
12,1,7,1116
12,1,8,1025
12,1,9,996
12,1,10,981
12,1,11,960
12,1,12,1029
12,1,13,1131
12,1,14,1112
12,1,15,996
12,1,16,1041
12,1,17,973
12,1,18,1197
12,1,19,1186
12,2,0,984
12,2,1,1146
12,2,2,1057
12,2,3,1025
12,2,4,1148
12,2,5,902
12,2,6,1189
12,2,7,1186
12,2,8,961
12,2,9,1196
12,2,10,1143
12,2,11,900
12,2,12,1038
12,2,13,999
12,2,14,960
12,2,15,1128
12,2,16,1144
12,2,17,1109
12,2,18,931
12,2,19,998
13,0,0,1060
13,0,1,966
13,0,2,958
13,0,3,1065
13,0,4,945
13,0,5,1014
13,0,6,975
13,0,7,1125
13,0,8,1004
13,0,9,939
13,0,10,1177
13,0,11,971
13,0,12,1175
13,0,13,1154
13,0,14,1114
13,0,15,932
13,0,16,994
13,0,17,967
13,0,18,1154
13,0,19,993
13,1,0,996
13,1,1,1167
13,1,2,1070
13,1,3,947
13,1,4,955
13,1,5,1102
13,1,6,1044
13,1,7,1180
13,1,8,932
13,1,9,920
13,1,10,965
13,1,11,1047
13,1,12,1168
13,1,13,1001
13,1,14,973
13,1,15,1034
13,1,16,966
13,1,17,955
13,1,18,1117
13,1,19,926
13,2,0,943
13,2,1,1062
13,2,2,996
13,2,3,1144
13,2,4,1022
13,2,5,1118
13,2,6,1071
13,2,7,1087
13,2,8,1149
13,2,9,1187
13,2,10,920
13,2,11,1041
13,2,12,1012
13,2,13,1091
13,2,14,1115
13,2,15,1092
13,2,16,1116
13,2,17,978
13,2,18,1174
13,2,19,1021
14,0,0,1096
14,0,1,1129
14,0,2,999
14,0,3,1153
14,0,4,1007
14,0,5,1055
14,0,6,1130
14,0,7,1186
14,0,8,970
14,0,9,914
14,0,10,1010
14,0,11,1106
14,0,12,1054
14,0,13,1121
14,0,14,1104
14,0,15,928
14,0,16,1198
14,0,17,903
14,0,18,1200
14,0,19,1065
14,1,0,909
14,1,1,1031
14,1,2,920
14,1,3,953
14,1,4,1062
14,1,5,1033
14,1,6,1002
14,1,7,1072
14,1,8,942
14,1,9,1083
14,1,10,1023
14,1,11,901
14,1,12,1185
14,1,13,1037
14,1,14,1107
14,1,15,962
14,1,16,1134
14,1,17,948
14,1,18,1123
14,1,19,1079
14,2,0,979
14,2,1,1181
14,2,2,935
14,2,3,1132
14,2,4,1153
14,2,5,927
14,2,6,978
