ship,k,value
0,0,5
0,1,3
0,2,4
1,0,3
1,1,4
1,2,4
2,0,5
2,1,3
2,2,5
3,0,3
3,1,2
3,2,4
4,0,5
4,1,5
4,2,5
5,0,4
5,1,5
5,2,4
6,0,4
6,1,5
6,2,3
7,0,2
7,1,5
7,2,4
8,0,2
8,1,2
8,2,5
9,0,4
9,1,4
9,2,5
10,0,4
10,1,2
10,2,3
11,0,4
11,1,2
11,2,4
12,0,5
12,1,5
12,2,5
13,0,4
13,1,5
13,2,4
14,0,4
14,1,3
14,2,4
15,0,3
15,1,2
15,2,2
16,0,3
16,1,2
16,2,2
17,0,4
17,1,4
17,2,4
18,0,3
18,1,2
18,2,2
19,0,3
19,1,2
19,2,3
20,0,4
20,1,4
20,2,4
21,0,5
21,1,5
21,2,3
22,0,2
22,1,4
22,2,2
23,0,2
23,1,2
23,2,4
24,0,3
24,1,5
24,2,2
25,0,2
25,1,4
25,2,3
26,0,4
26,1,3
26,2,2
27,0,2
27,1,3
27,2,5
28,0,2
28,1,3
28,2,4
29,0,4
29,1,5
29,2,5
30,0,5
30,1,5
30,2,4
31,0,2
31,1,2
31,2,2
32,0,3
32,1,4
32,2,4
33,0,3
33,1,2
33,2,2
34,0,2
34,1,3
34,2,2
35,0,2
35,1,5
35,2,3
36,0,5
36,1,4
36,2,3
37,0,4
37,1,5
37,2,2
38,0,5
38,1,5
38,2,5
39,0,5
39,1,2
39,2,5
40,0,2
40,1,2
40,2,2
41,0,2
41,1,4
41,2,5
42,0,2
42,1,3
42,2,4
43,0,5
43,1,4
43,2,4
44,0,3
44,1,3
44,2,4
