ship,berth,k,value
0,0,0,10999
0,0,1,6758
0,0,2,6780
0,1,0,7600
0,1,1,8728
0,1,2,7365
0,2,0,10584
0,2,1,8612
0,2,2,9180
0,3,0,7776
0,3,1,9799
0,3,2,6039
0,4,0,9516
0,4,1,10475
0,4,2,5932
0,5,0,8594
0,5,1,5530
0,5,2,7079
0,6,0,10979
0,6,1,5334
0,6,2,8153
0,7,0,9899
0,7,1,7957
0,7,2,7769
1,0,0,9883
1,0,1,10819
1,0,2,9904
1,1,0,6772
1,1,1,9884
1,1,2,10961
1,2,0,10538
1,2,1,10805
1,2,2,8675
1,3,0,7954
1,3,1,6015
1,3,2,10986
1,4,0,7001
1,4,1,9102
1,4,2,9061
1,5,0,10258
1,5,1,5143
1,5,2,5244
1,6,0,9193
1,6,1,5154
1,6,2,5519
1,7,0,9005
1,7,1,5916
1,7,2,8726
2,0,0,7468
2,0,1,10671
2,0,2,9009
2,1,0,7609
2,1,1,5450
2,1,2,5063
2,2,0,6690
2,2,1,10131
2,2,2,5827
2,3,0,8606
2,3,1,5806
2,3,2,9411
2,4,0,10155
2,4,1,5851
2,4,2,10935
2,5,0,10612
2,5,1,10643
2,5,2,7006
2,6,0,10261
2,6,1,5383
2,6,2,6200
2,7,0,8714
2,7,1,9477
2,7,2,10835
3,0,0,6516
3,0,1,8825
3,0,2,5658
3,1,0,5836
3,1,1,10081
3,1,2,9668
3,2,0,6164
3,2,1,6921
3,2,2,9297
3,3,0,8223
3,3,1,9718
3,3,2,7754
3,4,0,7517
3,4,1,7479
3,4,2,5820
3,5,0,10624
3,5,1,5051
3,5,2,7840
3,6,0,5979
3,6,1,5204
3,6,2,8268
3,7,0,8458
3,7,1,8816
3,7,2,7332
4,0,0,7021
4,0,1,7500
4,0,2,10157
4,1,0,10055
4,1,1,8286
4,1,2,10059
4,2,0,7582
4,2,1,6898
4,2,2,10109
4,3,0,6769
4,3,1,7649
4,3,2,5868
4,4,0,9835
4,4,1,10698
4,4,2,7403
4,5,0,7816
4,5,1,5960
4,5,2,8438
4,6,0,8868
4,6,1,10210
4,6,2,8748
4,7,0,10771
4,7,1,5765
4,7,2,6482
5,0,0,8342
5,0,1,6158
5,0,2,5743
5,1,0,7526
5,1,1,8977
5,1,2,7513
5,2,0,9943
5,2,1,6669
5,2,2,8347
5,3,0,10773
5,3,1,7052
5,3,2,5493
5,4,0,7896
5,4,1,10373
5,4,2,7114
5,5,0,8635
5,5,1,10516
5,5,2,10771
5,6,0,8709
5,6,1,6059
5,6,2,7394
5,7,0,7785
5,7,1,5070
5,7,2,5827
6,0,0,8728
6,0,1,9961
6,0,2,5557
6,1,0,8980
6,1,1,8753
6,1,2,9932
6,2,0,9549
6,2,1,7078
6,2,2,6207
6,3,0,7431
6,3,1,6783
6,3,2,7267
6,4,0,5608
6,4,1,7846
6,4,2,9876
6,5,0,8890
6,5,1,6982
6,5,2,6211
6,6,0,6546
6,6,1,6818
6,6,2,9847
6,7,0,10668
6,7,1,9851
6,7,2,10663
7,0,0,7988
7,0,1,7740
7,0,2,6248
7,1,0,8490
7,1,1,7255
7,1,2,7317
7,2,0,8263
7,2,1,9214
7,2,2,9000
7,3,0,6330
7,3,1,5462
7,3,2,8676
7,4,0,9044
7,4,1,6618
7,4,2,7365
7,5,0,5780
7,5,1,7067
7,5,2,9037
7,6,0,10357
7,6,1,8371
7,6,2,5544
7,7,0,9792
7,7,1,10557
7,7,2,6637
8,0,0,6158
8,0,1,9464
8,0,2,5743
8,1,0,8447
8,1,1,6415
8,1,2,5062
8,2,0,7774
8,2,1,9042
8,2,2,5155
8,3,0,10942
8,3,1,8169
8,3,2,7629
8,4,0,9350
8,4,1,5778
8,4,2,10592
8,5,0,5915
8,5,1,9447
8,5,2,6746
8,6,0,8004
8,6,1,10261
8,6,2,10137
8,7,0,7222
8,7,1,7339
8,7,2,10145
9,0,0,8916
9,0,1,9757
9,0,2,6921
9,1,0,9513
9,1,1,5451
9,1,2,8839
9,2,0,6774
9,2,1,10935
9,2,2,5307
9,3,0,5343
9,3,1,9169
9,3,2,6967
9,4,0,10386
9,4,1,8512
9,4,2,9897
9,5,0,10513
9,5,1,5359
9,5,2,5149
9,6,0,8871
9,6,1,7391
9,6,2,6113
9,7,0,6684
9,7,1,9680
9,7,2,7338
10,0,0,10077
10,0,1,6089
10,0,2,8268
10,1,0,7044
10,1,1,10690
10,1,2,6993
10,2,0,6872
10,2,1,9566
10,2,2,6439
10,3,0,10830
10,3,1,7215
10,3,2,7023
10,4,0,5559
10,4,1,8331
10,4,2,10534
10,5,0,7807
10,5,1,7055
10,5,2,8246
10,6,0,6852
10,6,1,7386
10,6,2,6966
10,7,0,9894
10,7,1,9194
10,7,2,5526
11,0,0,6573
11,0,1,10098
11,0,2,10143
11,1,0,7101
11,1,1,10261
11,1,2,10254
11,2,0,10357
11,2,1,9213
11,2,2,6619
11,3,0,8528
11,3,1,6637
11,3,2,5073
11,4,0,7702
11,4,1,7480
11,4,2,10052
11,5,0,7676
11,5,1,7440
11,5,2,7454
11,6,0,8781
11,6,1,7569
11,6,2,7062
11,7,0,8788
11,7,1,5023
11,7,2,5616
12,0,0,7247
12,0,1,5704
12,0,2,9766
12,1,0,5164
12,1,1,6002
12,1,2,5287
12,2,0,6562
12,2,1,8042
12,2,2,8925
12,3,0,10031
12,3,1,8514
12,3,2,10062
12,4,0,5264
12,4,1,7907
12,4,2,10455
12,5,0,5660
12,5,1,7426
12,5,2,6519
12,6,0,9530
12,6,1,7021
12,6,2,7661
12,7,0,5139
12,7,1,8316
12,7,2,8444
13,0,0,10281
13,0,1,8510
13,0,2,10283
13,1,0,5528
13,1,1,8273
13,1,2,8140
13,2,0,10958
13,2,1,10490
13,2,2,10664
13,3,0,8885
13,3,1,7394
13,3,2,6045
13,4,0,9442
13,4,1,10332
13,4,2,7430
13,5,0,9393
13,5,1,6430
13,5,2,5159
13,6,0,9055
13,6,1,10262
13,6,2,6623
13,7,0,9099
13,7,1,8841
13,7,2,7652
14,0,0,7712
14,0,1,6610
14,0,2,10123
14,1,0,8466
14,1,1,7979
14,1,2,6547
14,2,0,9149
14,2,1,7519
14,2,2,10064
14,3,0,8516
14,3,1,10466
14,3,2,5307
14,4,0,7851
14,4,1,8440
14,4,2,10357
14,5,0,9736
14,5,1,6766
14,5,2,9469
14,6,0,10897
14,6,1,8845
14,6,2,8593
14,7,0,6756
14,7,1,5273
14,7,2,7563
15,0,0,7545
15,0,1,9945
15,0,2,6400
15,1,0,5964
15,1,1,5005
15,1,2,5305
15,2,0,5252
15,2,1,10965
15,2,2,10170
15,3,0,7800
15,3,1,8525
15,3,2,9324
15,4,0,5055
15,4,1,5836
15,4,2,7138
15,5,0,10162
15,5,1,9256
15,5,2,10484
15,6,0,6103
15,6,1,8402
15,6,2,8593
15,7,0,8200
15,7,1,5333
15,7,2,9566
16,0,0,10671
16,0,1,8063
16,0,2,8363
16,1,0,9196
16,1,1,10924
16,1,2,10349
16,2,0,5505
16,2,1,9686
16,2,2,8207
16,3,0,5149
16,3,1,7861
16,3,2,6422
16,4,0,5004
16,4,1,9852
16,4,2,10803
16,5,0,10697
16,5,1,7295
16,5,2,6456
16,6,0,8166
16,6,1,10665
16,6,2,8862
16,7,0,7649
16,7,1,6167
16,7,2,9476
17,0,0,10351
17,0,1,10803
17,0,2,7928
17,1,0,9424
17,1,1,9986
17,1,2,10064
17,2,0,10665
17,2,1,6414
17,2,2,5352
17,3,0,6427
17,3,1,9244
17,3,2,8406
17,4,0,6961
17,4,1,9485
17,4,2,5057
17,5,0,10294
17,5,1,8721
17,5,2,10066
17,6,0,5618
17,6,1,6992
17,6,2,5233
17,7,0,5798
17,7,1,8715
17,7,2,9985
18,0,0,10405
18,0,1,5692
18,0,2,7147
18,1,0,6152
18,1,1,8838
18,1,2,10187
18,2,0,6005
18,2,1,9588
18,2,2,5520
18,3,0,5432
18,3,1,7042
18,3,2,9336
18,4,0,9434
18,4,1,6875
18,4,2,7061
18,5,0,9574
18,5,1,7549
18,5,2,5550
18,6,0,6452
18,6,1,6454
18,6,2,5705
18,7,0,9679
18,7,1,8122
18,7,2,8381
19,0,0,6303
19,0,1,6992
19,0,2,9395
19,1,0,9748
19,1,1,6576
19,1,2,7422
19,2,0,6055
19,2,1,8670
19,2,2,10033
19,3,0,5294
19,3,1,10240
19,3,2,10183
19,4,0,10124
19,4,1,7673
19,4,2,8834
19,5,0,6003
19,5,1,10603
19,5,2,8762
19,6,0,8045
19,6,1,8962
19,6,2,8822
19,7,0,9954
19,7,1,9389
19,7,2,5169
20,0,0,5112
20,0,1,6853
20,0,2,5787
20,1,0,8319
20,1,1,7178
20,1,2,6706
20,2,0,5568
20,2,1,6944
20,2,2,6058
20,3,0,9692
20,3,1,8096
20,3,2,9341
20,4,0,5525
20,4,1,5961
20,4,2,9598
20,5,0,10647
20,5,1,7490
20,5,2,7162
20,6,0,7403
20,6,1,6719
20,6,2,5948
20,7,0,5473
20,7,1,9341
20,7,2,6793
21,0,0,9367
21,0,1,8503
21,0,2,10728
21,1,0,9644
21,1,1,10146
21,1,2,9358
21,2,0,6295
21,2,1,5136
21,2,2,9217
21,3,0,5201
21,3,1,9289
21,3,2,7776
21,4,0,5293
21,4,1,5356
21,4,2,5859
21,5,0,7394
21,5,1,8440
21,5,2,6967
21,6,0,5615
21,6,1,5584
21,6,2,8664
21,7,0,9722
21,7,1,5630
21,7,2,5907
22,0,0,10727
22,0,1,8497
22,0,2,8703
22,1,0,7189
22,1,1,6215
22,1,2,9869
22,2,0,8478
22,2,1,7492
22,2,2,10494
22,3,0,6654
22,3,1,7143
22,3,2,10287
22,4,0,10725
22,4,1,9959
22,4,2,9273
22,5,0,9857
22,5,1,10697
22,5,2,5797
22,6,0,10200
22,6,1,7324
22,6,2,7007
22,7,0,9508
22,7,1,6821
22,7,2,6014
23,0,0,6445
23,0,1,5708
23,0,2,8931
23,1,0,7168
23,1,1,5653
23,1,2,10360
23,2,0,9800
23,2,1,8809
23,2,2,7412
23,3,0,6442
23,3,1,9054
23,3,2,7124
23,4,0,7043
23,4,1,7250
23,4,2,7500
23,5,0,5140
23,5,1,6455
23,5,2,5556
23,6,0,7179
23,6,1,7330
23,6,2,5544
23,7,0,10905
23,7,1,7432
23,7,2,8889
24,0,0,5909
24,0,1,8303
24,0,2,9751
24,1,0,7017
24,1,1,6849
24,1,2,8468
24,2,0,6780
24,2,1,10721
24,2,2,7956
24,3,0,5558
24,3,1,7486
24,3,2,6084
24,4,0,7549
24,4,1,5998
24,4,2,6825
24,5,0,6037
24,5,1,6302
24,5,2,8432
24,6,0,8801
24,6,1,8998
24,6,2,6954
24,7,0,7662
24,7,1,9213
24,7,2,10016
25,0,0,7107
25,0,1,5507
25,0,2,8345
25,1,0,9707
25,1,1,5036
25,1,2,6705
25,2,0,9868
25,2,1,5562
25,2,2,6139
25,3,0,5885
25,3,1,6201
25,3,2,10323
25,4,0,10747
25,4,1,5744
25,4,2,10415
25,5,0,5300
25,5,1,10303
25,5,2,7020
25,6,0,8834
25,6,1,8713
25,6,2,8813
25,7,0,10078
25,7,1,9001
25,7,2,8855
26,0,0,10854
26,0,1,10491
26,0,2,5967
26,1,0,9694
26,1,1,6729
26,1,2,7294
26,2,0,5459
26,2,1,5995
26,2,2,6282
26,3,0,9388
26,3,1,8989
26,3,2,6623
26,4,0,7286
26,4,1,10013
26,4,2,9961
26,5,0,7351
26,5,1,6875
26,5,2,9214
26,6,0,6421
26,6,1,8908
26,6,2,10726
26,7,0,5368
26,7,1,9973
26,7,2,6346
27,0,0,6581
27,0,1,10826
27,0,2,10321
27,1,0,7503
27,1,1,10521
27,1,2,10627
27,2,0,8668
27,2,1,9662
27,2,2,6093
27,3,0,8644
27,3,1,9898
27,3,2,7405
27,4,0,10753
27,4,1,6168
27,4,2,10800
27,5,0,6094
27,5,1,7677
27,5,2,6651
27,6,0,7109
27,6,1,9510
27,6,2,6151
27,7,0,5415
27,7,1,7803
27,7,2,6156
28,0,0,7559
28,0,1,8443
28,0,2,8414
28,1,0,5165
28,1,1,6080
28,1,2,8425
28,2,0,5862
28,2,1,6021
28,2,2,6369
28,3,0,7561
28,3,1,8236
28,3,2,5325
28,4,0,5687
28,4,1,5093
28,4,2,10148
28,5,0,8110
28,5,1,6839
28,5,2,5890
28,6,0,7509
28,6,1,9018
28,6,2,8196
28,7,0,8594
28,7,1,9644
28,7,2,8926
29,0,0,9769
29,0,1,7322
29,0,2,9675
29,1,0,7452
29,1,1,6074
29,1,2,6584
29,2,0,6339
29,2,1,9618
29,2,2,9474
29,3,0,7223
29,3,1,8995
29,3,2,10314
29,4,0,7726
29,4,1,5070
29,4,2,10004
29,5,0,6654
29,5,1,7717
29,5,2,9335
29,6,0,6553
29,6,1,5057
29,6,2,9205
29,7,0,6472
29,7,1,5470
29,7,2,7096
30,0,0,9325
30,0,1,10693
30,0,2,5552
30,1,0,10913
30,1,1,7779
30,1,2,7919
30,2,0,9997
30,2,1,10866
30,2,2,9435
30,3,0,8539
30,3,1,8104
30,3,2,7398
30,4,0,7995
30,4,1,7687
30,4,2,7159
30,5,0,8232
30,5,1,8172
30,5,2,6008
30,6,0,10997
30,6,1,8165
30,6,2,6524
30,7,0,10028
30,7,1,10865
30,7,2,7715
31,0,0,7013
31,0,1,6487
31,0,2,10204
31,1,0,5664
31,1,1,10302
31,1,2,6212
31,2,0,8971
31,2,1,5140
31,2,2,5118
31,3,0,9809
31,3,1,9179
31,3,2,8847
31,4,0,9455
31,4,1,5175
31,4,2,5371
31,5,0,6142
31,5,1,5437
31,5,2,8655
31,6,0,10901
31,6,1,6128
31,6,2,9467
31,7,0,6451
31,7,1,6719
31,7,2,6234
32,0,0,9615
32,0,1,9375
32,0,2,8550
32,1,0,5786
32,1,1,7953
32,1,2,7279
32,2,0,8049
32,2,1,5597
32,2,2,5419
32,3,0,8883
32,3,1,6825
32,3,2,9060
32,4,0,5006
32,4,1,6748
32,4,2,7915
32,5,0,6930
32,5,1,10675
32,5,2,9395
32,6,0,10126
32,6,1,7513
32,6,2,7768
32,7,0,9841
32,7,1,8271
32,7,2,7601
33,0,0,8442
33,0,1,8575
33,0,2,5138
33,1,0,6641
33,1,1,10406
33,1,2,8252
33,2,0,5506
33,2,1,8310
33,2,2,8997
33,3,0,6872
33,3,1,8083
33,3,2,8912
33,4,0,8272
33,4,1,8494
33,4,2,5985
33,5,0,9847
33,5,1,10312
33,5,2,9005
33,6,0,5250
33,6,1,5883
33,6,2,5334
33,7,0,5449
33,7,1,8883
33,7,2,5084
34,0,0,6970
34,0,1,6306
34,0,2,7118
34,1,0,7791
34,1,1,6615
34,1,2,6226
34,2,0,5197
34,2,1,6416
34,2,2,5320
34,3,0,7426
34,3,1,10145
34,3,2,9784
34,4,0,9727
34,4,1,6476
34,4,2,9217
34,5,0,9654
34,5,1,10340
34,5,2,5047
34,6,0,9737
34,6,1,5175
34,6,2,9078
34,7,0,9068
34,7,1,8748
34,7,2,10547
35,0,0,9160
35,0,1,6064
35,0,2,7933
35,1,0,7775
35,1,1,5619
35,1,2,9135
35,2,0,10540
35,2,1,5802
35,2,2,6985
35,3,0,9716
35,3,1,7232
35,3,2,9802
35,4,0,10384
35,4,1,10291
35,4,2,10333
35,5,0,5365
35,5,1,10026
35,5,2,10430
35,6,0,8527
35,6,1,8729
35,6,2,8782
35,7,0,8179
35,7,1,10474
35,7,2,9417
36,0,0,6087
36,0,1,5193
36,0,2,8735
36,1,0,10865
36,1,1,7977
36,1,2,6348
36,2,0,7825
36,2,1,5639
36,2,2,8391
36,3,0,5338
