ship,k,value
0,0,0.828671
0,1,0.737736
0,2,0.692683
1,0,0.702393
1,1,0.659443
1,2,0.687409
2,0,0.865918
2,1,0.814469
2,2,0.63455
3,0,0.86358
3,1,0.675075
3,2,0.646945
4,0,0.840925
4,1,0.821163
4,2,0.859751
5,0,0.750942
5,1,0.678086
5,2,0.796206
6,0,0.87001
6,1,0.725209
6,2,0.712035
7,0,0.807713
7,1,0.632734
7,2,0.703096
8,0,0.846883
8,1,0.619797
8,2,0.637775
9,0,0.856685
9,1,0.698907
9,2,0.802324
10,0,0.780905
10,1,0.858603
10,2,0.83798
11,0,0.839688
11,1,0.868538
11,2,0.639499
12,0,0.84668
12,1,0.81874
12,2,0.650157
13,0,0.67892
13,1,0.770591
13,2,0.646029
14,0,0.735319
14,1,0.852917
14,2,0.71473
15,0,0.836442
15,1,0.648983
15,2,0.728078
16,0,0.680639
16,1,0.7887
16,2,0.866276
17,0,0.643917
17,1,0.718666
17,2,0.716144
18,0,0.673313
18,1,0.643089
18,2,0.667356
19,0,0.680473
19,1,0.732975
19,2,0.813713
20,0,0.729569
20,1,0.663095
20,2,0.760507
21,0,0.807539
21,1,0.716623
21,2,0.764156
22,0,0.851233
22,1,0.749432
22,2,0.815125
23,0,0.844959
23,1,0.694995
23,2,0.721165
24,0,0.778007
24,1,0.718298
24,2,0.786821
25,0,0.816055
25,1,0.737238
25,2,0.791915
26,0,0.764382
26,1,0.667961
26,2,0.776218
27,0,0.832361
27,1,0.741647
27,2,0.773469
28,0,0.656306
28,1,0.843727
28,2,0.828067
29,0,0.79478
29,1,0.835009
29,2,0.798079
