ship,k,row,slot
0,0,13,0
0,1,11,3
0,2,4,0
1,0,1,0
1,0,1,1
1,1,12,0
1,1,12,1
1,2,3,1
1,2,3,2
2,0,18,0
2,0,18,1
2,1,2,3
2,1,2,4
2,2,4,1
2,2,4,2
3,0,8,4
3,0,8,5
3,1,7,0
3,2,14,0
4,0,5,2
4,1,7,3
4,2,11,2
5,0,0,1
5,0,0,2
5,0,0,3
5,1,15,1
5,1,15,2
5,2,5,0
5,2,5,1
6,0,17,0
6,1,9,0
6,2,11,0
6,2,11,1
7,0,9,2
7,0,9,3
7,1,7,1
7,1,7,2
7,2,15,0
8,0,14,1
8,1,8,0
8,2,15,5
8,2,15,6
9,0,16,0
9,1,11,4
9,2,6,4
10,0,18,4
10,0,18,5
10,1,12,3
10,1,12,4
10,2,3,0
11,0,19,0
11,0,19,1
11,1,2,0
11,1,2,1
11,2,6,0
11,2,6,1
12,0,18,2
12,1,2,2
12,2,8,3
13,0,13,1
13,0,13,2
13,1,10,3
13,1,10,4
13,1,10,5
13,2,17,1
13,2,17,2
14,0,19,2
14,0,19,3
14,1,3,3
14,1,3,4
14,2,10,1
