ship,k,row,intervals
0,0,7,"6"
0,1,5,"0"
0,2,18,"7-8"
1,0,0,"2-3"
1,1,8,"1-2"
1,2,19,"4-5"
2,0,11,"4-5"
2,1,18,"0-1"
2,2,12,"0"
3,0,14,"5"
3,1,16,"0"
3,2,17,"7"
4,0,0,"7"
4,1,6,"3"
4,2,1,"5"
5,0,12,"11-12"
5,1,19,"6-8"
5,2,18,"21-23"
6,0,6,"7"
6,1,9,"9"
6,2,15,"6"
7,0,13,"0"
7,1,10,"0"
7,2,7,"0-1"
8,0,15,"7"
8,1,4,"0"
8,2,9,"0-1"
9,0,15,"5"
9,1,4,"4"
9,2,17,"6"
10,0,13,"5-7"
10,1,16,"4-5"
10,2,17,"4-5"
11,0,8,"7"
11,1,7,"8"
11,2,3,"6"
12,0,5,"1"
12,1,10,"2"
12,2,16,"1"
13,0,3,"9-10"
13,1,2,"5-6"
13,2,4,"5-6"
14,0,10,"4"
14,1,9,"6-7"
14,2,6,"5-6"
15,0,6,"0"
15,1,11,"1-2"
15,2,14,"3-4"
16,0,15,"0"
16,1,10,"8-9"
16,2,9,"5"
17,0,17,"1"
17,1,4,"3"
17,2,0,"4-5"
18,0,8,"3"
18,1,10,"3"
18,2,13,"2"
19,0,5,"3-4"
19,1,13,"1"
19,2,17,"0"
20,0,1,"0"
20,1,0,"0"
20,2,17,"2-3"
21,0,12,"5"
21,1,9,"4"
21,2,14,"2"
22,0,18,"4"
22,1,13,"3-4"
22,2,7,"3-4"
23,0,17,"9-11"
23,1,3,"7-8"
23,2,9,"2-3"
24,0,18,"5"
24,1,12,"6"
24,2,16,"3"
25,0,18,"3"
25,1,3,"3"
25,2,2,"4"
26,0,19,"0-1"
26,1,18,"2"
26,2,4,"9-10"
27,0,0,"1"
27,1,5,"2"
27,2,2,"1"
28,0,11,"6"
28,1,5,"7"
28,2,0,"8"
29,0,14,"0"
29,1,13,"10-11"
29,2,4,"2"
30,0,12,"1-2"
30,1,7,"2"
30,2,4,"1"
31,0,2,"7-8"
31,1,3,"4-5"
31,2,8,"4"
32,0,3,"0"
32,1,2,"0"
32,2,15,"1-2"
33,0,14,"1"
33,1,10,"1"
33,2,11,"0"
34,0,4,"7-8"
34,1,14,"7-8"
34,2,5,"5-6"
35,0,2,"2-3"
35,1,8,"0"
35,2,16,"2"
36,0,3,"1-2"
36,1,19,"2-3"
36,2,1,"1-2"
37,0,6,"4"
37,1,8,"5"
37,2,11,"3"
38,0,6,"1-2"
38,1,12,"3-4"
38,2,1,"3-4"
39,0,15,"3-4"
39,1,1,"7-8"
39,2,10,"5-7"
