ship,k,e_sk
0,0,43
0,1,50.148
0,2,56.848
1,0,12
1,1,21.3126
1,2,29.0165
2,0,121
2,1,127.597
2,2,132.567
3,0,8
3,1,16.4065
3,2,27.5805
4,0,44
4,1,52.749
4,2,56.9266
5,0,131
5,1,140.236
5,2,146.839
6,0,42
6,1,44.9758
6,2,49.2892
7,0,131
7,1,136.049
7,2,140.449
8,0,75
8,1,88.4234
8,2,168
9,0,146
9,1,150.302
9,2,155.062
10,0,15
10,1,17.0701
10,2,19.9444
11,0,107
11,1,119.475
11,2,131.72
12,0,61
12,1,63.6505
12,2,66.9377
13,0,76
13,1,81.1495
13,2,86.949
14,0,104
14,1,106.952
14,2,109.736
15,0,149
15,1,168
15,2,160.808
16,0,146.273
16,1,150.787
16,2,148.658
17,0,61
17,1,162.914
17,2,168
18,0,16
18,1,24.4499
18,2,28.6981
