ship,transshipment_cost,storage_cost,berth_time,alpha,beta,weighted_contribution
0,3.94704e+06,6548,53.356,1,20000,5.0207e+06
1,1.97906e+06,3826,16.3589,1,20000,2.31006e+06
2,3.40536e+06,5457,22.4579,1,20000,3.85997e+06
3,4.10396e+06,7720,42.2406,1,20000,4.9565e+06
4,3.80119e+06,5954,23.6771,1,20000,4.28068e+06
5,1.35579e+06,2844,9.90126,1,20000,1.55666e+06
6,3.31471e+06,4016,26.8723,1,20000,3.85617e+06
7,3.88364e+06,5898,30.1767,1,20000,4.49307e+06
8,4.11345e+06,7425,45.549,1,20000,5.03186e+06
9,2.06555e+06,3973,12.5805,1,20000,2.32113e+06
10,2.04183e+06,3115,15.3501,1,20000,2.35195e+06
11,2.9541e+06,4045,17.683,1,20000,3.3118e+06
12,3.42834e+06,4323,29.9526,1,20000,4.03171e+06
13,4.17427e+06,6456,34.2957,1,20000,4.86664e+06
14,4.04154e+06,6393,29.1201,1,20000,4.63033e+06
15,3.09556e+06,4873,21.1052,1,20000,3.52254e+06
16,3.10846e+06,5187,22.706,1,20000,3.56777e+06
17,1.81002e+06,2967,12.1556,1,20000,2.0561e+06
18,1.56631e+06,2982,15.2006,1,20000,1.8733e+06
19,4.80031e+06,7555,38.4459,1,20000,5.57678e+06
20,4.72684e+06,5712,30.1578,1,20000,5.33571e+06
21,1.5768e+06,3102,10.9768,1,20000,1.79944e+06
22,1.67063e+06,3082,9.41977,1,20000,1.8621e+06
23,3.54663e+06,5612,27.763,1,20000,4.10751e+06
24,1.87526e+06,4270,24.547,1,20000,2.37047e+06
25,4.12648e+06,6910,32.2965,1,20000,4.77932e+06
26,2.42374e+06,3698,29.595,1,20000,3.01933e+06
27,4.21933e+06,6132,40.6505,1,20000,5.03847e+06
28,3.64501e+06,3909,28.1593,1,20000,4.2121e+06
29,2.88792e+06,4359,23.4501,1,20000,3.36128e+06
30,3.2063e+06,5882,19.1888,1,20000,3.59595e+06
31,2.36999e+06,2907,31.9076,1,20000,3.01105e+06
32,1.96611e+06,2795,29.8183,1,20000,2.56527e+06
33,1.65603e+06,2925,15.9513,1,20000,1.97798e+06
34,2.75136e+06,4058,34.245,1,20000,3.44031e+06
